老千 ,"['崔东勋', '崔东勋', '许英万', '曹承佑', '金惠秀', '白润植', '柳海真', '李水京', '金应洙', '金允石', '剧情', '犯罪']","['崔东勋', '许英万']","['曹承佑', '金惠秀', '白润植', '柳海真', '李水京', '金应洙', '金允石']","['剧情', '犯罪']",['制片国家/地区: 韩国'],['语言: 韩语'],['上映日期: 2006-09-28'],['又名: 泰沙大豪客(港) / The War of Flower / Tazza: the High Rollers'],"
                            ",['ftp://6vdy:6vdy@vip.36ys.com:2116/【6V电影www.6vdy.com】老千BD中字1024x576无水印版.rmvb']
猫与桃花源 ,"['王微', '王微', '李宇峰', '杨砚铎', '周华健', '张喆', '陈霖生', '动画', '家庭', '冒险']",['王微'],"['李宇峰', '杨砚铎', '周华健', '张喆', '陈霖生']","['动画', '家庭', '冒险']",['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2018-04-05(中国大陆)'],['又名: 猫咪妈咪HOME(港) / Cats and Peachtopia'],"
                            一只常常在窗台发呆的家猫毯子，一直以来和儿子斗篷安逸地生活在城市的一座高楼公寓中。有一天毯子不得不和斗篷分别踏上冒险旅程，去寻找传说中的猫的桃花源。与此同时，毯子必须面对心中一段不愿提起的往事，或许这也是毯子害怕外面的世界，不愿意离开家的重要原因......","['ed2k://|file|猫与桃花源.1080p.国粤英三语.BD中字[66影视www.66Ys.Co].mp4|1800696317|B1DC2ED7CF467D1FF72739D8AA3D8E69|h=ITO5FQZS4GC7GBOEM7BAZOYT27O4NXPV|/', 'magnet:?xt=urn:btih:J6FIWGIDURN7TV22KMFPSAZ74CQU6BF4', 'magnet:?xt=urn:btih:GUUZT5ZPKQK53EEYCLTZIIRKOP2UHB2J']"
杀戮部队 ,"['丹·克劳斯', '丹·克劳斯', '亚历山大·斯卡斯加德', '纳特·沃尔夫', '乔纳森·怀特赛尔', '奥赛·伊克希尔', '罗伯·莫洛', '安娜·弗兰科利尼', '伊恩·阿塔德', '亚当·詹姆斯', '扎克瑞·莫莫', '胡里奥·佩里兰', 'Adam Long', 'Brian Marc', 'Oliver Ritchie', 'Edward J. Bentley', 'Edd Campbell Bird', 'Edson de Souza', 'Elham Ehsas', '剧情', '动作', '惊悚', '战争']",['丹·克劳斯'],"['亚历山大·斯卡斯加德', '纳特·沃尔夫', '乔纳森·怀特赛尔', '奥赛·伊克希尔', '罗伯·莫洛', '安娜·弗兰科利尼', '伊恩·阿塔德', '亚当·詹姆斯', '扎克瑞·莫莫', '胡里奥·佩里兰', 'Adam Long', 'Brian Marc', 'Oliver Ritchie', 'Edward J. Bentley', 'Edd Campbell Bird', 'Edson de Souza', 'Elham Ehsas']","['剧情', '动作', '惊悚', '战争']",['制片国家/地区: 美国 / 西班牙'],['语言: 英语'],['上映日期: 2019-04-27(翠贝卡电影节) / 2019-10-25(美国)'],['又名: 杀戮小队'],"
                            美国入侵阿富汗期间，年轻士兵Adam目睹自己队上的其他新兵杀害无辜平民，考虑将他们报告给上级。而这支全副武装的小队越来越暴力，他们也开始怀疑队中有人是叛徒。斯卡斯加德饰演的中士强迫Adam杀死平民，不然就杀死他。","['magnet:?xt=urn:btih:HLPW5FOTSVULURSE7YK7F2R2GY6E7HWN', 'ed2k://|file|杀戮部队.720p.HD中英双字[66影视www.66Ys.Co].mp4|948869273|06FA2F4FC99A4EBD75DA8E415BD50B1B|h=5H3MWTNLDN2GXJNSRY57P6SYIR2QGL6I|/']"
叶问之九龙城寨 ,"['付利伟', '崔走召', '唐文龙', '楼南光', '林枫烨', '赵琳', '陈玉勇', '动作']",['崔走召'],"['唐文龙', '楼南光', '林枫烨', '赵琳', '陈玉勇']",['动作'],['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-10-24(中国大陆)'],[],"
                            1950年，大批武师进入香港开设拳馆，其中叶问(唐文龙饰)竟无一败绩名气大涨，引起九龙城寨现寨主郑德隆(林枫烨饰)的注意，郑德隆恐叶问对自己产生威胁，就将方家灭门案栽赃在叶问身上，想借警察之手除掉叶问。突现神秘人救出了叶问。叶问为自证清白带着徒弟阿民阿强闯入九龙城寨地界，谁承想城寨内早以埋伏无数高手，叶问能否顺利将郑德隆绳之于法，还自己一份清白！","['ed2k://|file|叶问之九龙城寨.2019.1080p.HD国语中字.mp4|870286779|3D3333FF0471B7C1ACD117F91FA4100C|h=LV4AK3KAJUGXOR6WNLMSEZXSZOW7YSW3|/', 'magnet:?xt=urn:btih:ACWIHLYZV365EUVKSI4JORQITDD2VGHO']"
功夫小镇 ,"['张艺飞', '张艺飞', '龙武', '高映雪', '孙蛟龙', '梁小龙', '董昕赟', '剧情', '动作']",['张艺飞'],"['龙武', '高映雪', '孙蛟龙', '梁小龙', '董昕赟']","['剧情', '动作']",['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-10-25(中国大陆)'],['又名: Kung Fu Town'],"
                            影片主要讲述了少林武僧大龙，痴迷武功，争强好胜，在争夺达摩院弟子席位时出手狠厉，师傅认为其武功虽强，武学尚浅，于是将名额给了大龙的师弟，并让大龙还俗下山，在红尘中修行，大龙还俗后来到了功夫小镇生活。这里高手云集、卧虎藏龙，众多功夫高手隐世于此。一日，小镇来了四名外国高手，他们的出现彻底打破了功夫小镇往日的宁静。面对他们的挑衅大龙与一众高手均被四人打败，大龙深受打击，一度一蹶不振，这时在他身边出现了一名古稀老者（梁小龙饰），大龙深知此人不凡一心希望拜老者为师，在多次被拒后大龙仍然坚持不懈，最终感动老者，如愿得到老者点悟，在5年一度的功夫小镇比武大赛中，大龙邀请了以入达摩院的师弟，二人联手力战四名狠辣的外国高手，最终取得冠军。正在大龙因获得冠军而沾沾自喜的时候，小镇守卫多年的国宝《千金药方》被盗轰动了功夫小镇，原来四名外国高手都是国际特种兵组织的高手，这四人挑战是假，借机偷取《千金药方》是真，于是大龙与师弟协助警方开始了一场生死追捕，最终将胆敢犯我华夏者绳之以法，成功追回了我国古书典籍。","['magnet:?xt=urn:btih:ZMWQX6VP47KWD53IOA2OUIASVZ3WTQCO', 'ed2k://|file|功夫小镇.1080p.HD国语中字.mp4|1755425105|7A05DF35A5A2CD8C800E4749E8E59487|h=ANFUMA3NOSKDJ5X3ZKMLF3MWGJQPOFCK|/']"
兄弟的雀巢 ,"['克莱顿·雅各布森', 'Jaime Browne', '肖恩·雅克博森', '克莱顿·雅各布森', 'Lynette Curran', 'Kim Gyngel', '莎拉·斯努克', '喜剧', '惊悚']",['Jaime Browne'],"['肖恩·雅克博森', '克莱顿·雅各布森', 'Lynette Curran', 'Kim Gyngel', '莎拉·斯努克']","['喜剧', '惊悚']",['制片国家/地区: 澳大利亚'],['语言: 英语'],['上映日期: 2018-03-11(澳大利亚)'],['又名: Sibling Rivalry'],"
                            母亲死于癌症，两个兄弟竭尽全力，以保护自己的遗产，以免为时已晚……",['ed2k://|file|兄弟的雀巢.1080p.BD中英双字[66影视www.66Ys.Co].mkv|1910592413|10C90275187C1564F9568E31C2539CF8|h=3CHD6AJT6GG3D5DOWJBKFFDAWMHEKUVR|/']
扫毒2：天地对决 ,"['邱礼涛', '李敏', '刘德华', '古天乐', '苗侨伟', '林嘉欣', '周秀娜', '应采儿', '陈家乐', '卫诗雅', '郑则仕', '张国强', '陈佩诗', '狼森', '欧阳靖', '恭硕良', '林家栋', '李赏', '张竣杰', '李灿森', '剧情', '动作', '悬疑', '犯罪']",['李敏'],"['刘德华', '古天乐', '苗侨伟', '林嘉欣', '周秀娜', '应采儿', '陈家乐', '卫诗雅', '郑则仕', '张国强', '陈佩诗', '狼森', '欧阳靖', '恭硕良', '林家栋', '李赏', '张竣杰', '李灿森']","['剧情', '动作', '悬疑', '犯罪']",[],[],[],[],"
                            毒品市场维持四分天下的格局已久，但自从地藏与墨西哥大毒枭跨境合作扩展势力，再加上一连串黑吃黑的动作，毒界变得风声鹤唳。另一方面，因儿时亲眼目睹父亲被毒品所毁而嫉毒如仇的慈善家兼金融巨子余顺天，正悬赏一亿歼灭香港最大毒贩，此举在社会上引起轩然大波。警员林正风本致力搜证拘捕地藏，毒贩却因巨额悬赏导致人身安全受威胁，他在执行保护毒贩的任务时深感无奈，但又被余顺天的出价所诱惑，陷入黑白正邪的心理挣扎。原来，余顺天和地藏有不可告人的同门关系，一场天地对决一触即发。","['ed2k://|file|扫毒2天地对决.1080p.国粤双语.BD中字[66影视www.66Ys.Co].mp4|2004566717|01B68AAC414E87EEF7A452E45658FFC5|h=PO6SDJ7X7BFM6ZWSOYQZLVMN7DHTVLCI|/', 'magnet:?xt=urn:btih:QDMUUMBXPK62QXSJIBE6FVHWAY7CGSZY', 'magnet:?xt=urn:btih:7NQBSNNC2NLNYHP6HKITJSTHOW2UTUXK']"
小Q ,"['罗永昌', '陈淑贤', '任达华', '梁咏琪', '罗仲谦', '杨采妮', '袁姗姗', '袁澧林', '刘楚恬', '林文龙', '郭晋安', '胡明', '余佳哝', '陈雅丽', '贾晓晨', '鲁牛', '刘永', '剧情']",['陈淑贤'],"['任达华', '梁咏琪', '罗仲谦', '杨采妮', '袁姗姗', '袁澧林', '刘楚恬', '林文龙', '郭晋安', '胡明', '余佳哝', '陈雅丽', '贾晓晨', '鲁牛', '刘永']",['剧情'],['制片国家/地区: 中国大陆 / 中国香港'],['语言: 汉语普通话 / 粤语'],['上映日期: 2019-08-15(中国香港) / 2019-09-20(中国大陆)'],['又名: Little Q'],"
                            本片讲述了聪明可爱的小Q在训练师悉心照料和训练过程中成长为一只合格的导盲犬，并遇到了主人李宝庭（任达华饰）——中年失明、孤僻又坏脾气的天才糕点师。他们共同生活的日子里，小Q逐渐融化并走入了宝庭的心里，温情的陪伴令处于低谷期的宝庭有了新 生活，一人一犬，深深的羁绊，他们谁也无法再失去彼此。",['magnet:?xt=urn:btih:QZETEUHXLKTFXASJ7NB4RBPSBGYMZNGW']
诛仙 Ⅰ ,"['程小东', '申捷', '宋朝云', '肖战', '李沁', '孟美岐', '唐艺昕', '刘端端', '李燊', '代旭', '邱心志', '姜大卫', '陈孝萱', '徐少强', '叶童', '梁家仁', '包小松', '陈立唯', '熊欣欣', '李熙', '谢辰', '何政庭', '张智坤', '孟子荻', '马佳玛尧', '张本煜', '李昕岳', '翟玉博', '爱情', '奇幻', '古装']","['申捷', '宋朝云']","['肖战', '李沁', '孟美岐', '唐艺昕', '刘端端', '李燊', '代旭', '邱心志', '姜大卫', '陈孝萱', '徐少强', '叶童', '梁家仁', '包小松', '陈立唯', '熊欣欣', '李熙', '谢辰', '何政庭', '张智坤', '孟子荻', '马佳玛尧', '张本煜', '李昕岳', '翟玉博']","['爱情', '奇幻', '古装']",['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-09-13(中国大陆)'],['又名: 诛仙 / 诛仙电影版 / Jade Dynasty'],"
                            导演: 程小东
编剧: 申捷 / 宋朝云
主演: 肖战 / 李沁 / 孟美岐 / 唐艺昕 / 刘端端 / 李燊 / 代旭 / 邱心志 / 姜大卫 / 陈孝萱 / 徐少强 / 叶童 / 梁家仁 / 包小松 / 陈立唯 / 熊欣欣 / 李熙 / 谢辰 / 何政庭 / 张智坤 / 孟子荻 / 马佳玛尧 / 张本煜 / 李昕岳 / 翟玉博
类型: 爱情 / 奇幻 / 古装
制片国家/地区: 中国大陆
语言: 汉语普通话
上映日期: 2019-09-13(中国大陆)
片长: 101分钟
又名: 诛仙 / 诛仙电影版 / Jade Dynasty
IMDb链接: tt9680630","['magnet:?xt=urn:btih:M7LMWZDTFHBEQDQBGTKVEAOTT7RAHK3B', 'ed2k://|file|诛仙Ⅰ.4K.HD国语中字.mp4|5179965043|E97DD906920B1F9F4ED4F84FA304FD3D|h=CD7CEX52PHMCXSPEZOU2U4K4ZX343J2C|/', 'magnet:?xt=urn:btih:6UXYZWETOJB7MQMDIVBJFHPIMO62FTQG', 'magnet:?xt=urn:btih:MBQMCJL5ZBS575XX57UCU4CZYGIH6BPU', 'ed2k://|file|诛仙Ⅰ.1080p.HD国语中字.mp4|2148988259|1663C94408FBAB145D5095967DF75FDB|h=OLO6X54NLOZKIUZLCZE63LPCD3UMLN6F|/']"
愤怒的小鸟2 ,"['图鲁普·范·奥尔曼', '彼得·阿克曼', '杰森·苏戴奇斯', '比尔·哈德尔', '乔什·加德', '丹尼·麦克布莱德', '彼特·丁拉基', '妮琪·米娜', '斯特林·K·布朗', '莱斯莉·琼斯', '奥卡菲娜', '蕾切尔·布鲁姆', '扎克·伍兹', '欧赫尼奥·德尔维斯', '里尔·莱尔·哈瓦瑞', '德芙·卡梅隆', '贝克·班尼特', '布鲁克琳·普林斯', '阿尔玛·瓦萨诺', '菲丝·玛格丽特·基德曼-厄本', '桑迪·萝丝·厄本', '吉妮西丝·坦尼翁', '喜剧', '动画', '冒险']",['彼得·阿克曼'],"['杰森·苏戴奇斯', '比尔·哈德尔', '乔什·加德', '丹尼·麦克布莱德', '彼特·丁拉基', '妮琪·米娜', '斯特林·K·布朗', '莱斯莉·琼斯', '奥卡菲娜', '蕾切尔·布鲁姆', '扎克·伍兹', '欧赫尼奥·德尔维斯', '里尔·莱尔·哈瓦瑞', '德芙·卡梅隆', '贝克·班尼特', '布鲁克琳·普林斯', '阿尔玛·瓦萨诺', '菲丝·玛格丽特·基德曼-厄本', '桑迪·萝丝·厄本', '吉妮西丝·坦尼翁']","['喜剧', '动画', '冒险']",['制片国家/地区: 芬兰 / 美国'],['语言: 英语'],['上映日期: 2019-08-16(中国大陆) / 2019-08-14(美国)'],['又名: 愤怒鸟大电影2(港) / 愤怒鸟玩电影2(台) / 愤怒的小鸟大电影2 / Angry Birds 2'],"
                            十年“欢喜冤家”猪鸟依旧如往常一样“互相拆台”。然而，“不速之客”发射冰球袭击了小鸟岛和猪猪岛，令双方不得不放下芥蒂，小鸟岛昔日英雄胖红联合小鸟伙伴们与曾经的对手“捣蛋猪”雷纳德一行组建了临时联盟，他们将前往全新冰封岛屿上阻止神秘反派的灭世计划。","['magnet:?xt=urn:btih:5ZLOEISVNT7NS2Z7XIOATBBNXL4MJEOM', 'magnet:?xt=urn:btih:LPZUFC3ALUILLPLTMMALDI5VKCAWJKWV', 'ed2k://|file|愤怒的小鸟2.1080p.国英双语.BD中英双字[66影视www.66Ys.Co].mp4|4390273680|AF6B35AF6F0D65F50839C5AB6081F6AC|h=DZCJKNT63FAKGEDPHUVEDKSDJWQH6TCZ|/', 'ed2k://|file|愤怒的小鸟2.720p.国英双语.BD中英双字[66影视www.66Ys.Co].mp4|2265153231|50D8D7BF63D926F4139C22F944516BD4|h=3HMQ6MVBDO4TNZPKEE2QKX5W3BKKJMSL|/', 'ed2k://|file|愤怒的小鸟2.720p.HD中英双字[66影视www.66Ys.Co].mp4|2008604368|48A8DC81B4F69BC6CBF06DE1E95EFCA4|h=DB4IOREPZIABQX7FMJCV2QWSSXUOQPFV|/']"
速度与激情：特别行动  ,"['大卫·雷奇', '克里斯·摩根', '盖瑞·斯科特·汤普森', '德鲁·皮尔斯', '道恩·强森', '杰森·斯坦森', '伊德里斯·艾尔巴', '凡妮莎·柯比', '艾莎·冈萨雷斯', '海伦·米伦', '瑞恩·雷诺兹', '凯文·哈特', '埃迪·马森', '罗曼·雷恩斯', '斯蒂芬妮·沃格特', '维克托里娅·菲斯', '康兰·卡萨尔', '海伦娜·福尔摩斯', '伯纳多·桑托斯', '露丝·霍洛克斯', '大卫·穆梅尼', '马诺伊·阿南德', '阿玛尔·阿达蒂亚', '朱利安·费罗', '丹尼尔·厄根', '拉普洛斯·卡伦福佐斯', '阿克塞尔·努', '史蒂夫·莱温顿', '安东尼奥·曼奇诺', '斯特拉·斯托克尔', '克利夫·柯蒂斯', '动作', '犯罪']","['克里斯·摩根', '盖瑞·斯科特·汤普森', '德鲁·皮尔斯']","['道恩·强森', '杰森·斯坦森', '伊德里斯·艾尔巴', '凡妮莎·柯比', '艾莎·冈萨雷斯', '海伦·米伦', '瑞恩·雷诺兹', '凯文·哈特', '埃迪·马森', '罗曼·雷恩斯', '斯蒂芬妮·沃格特', '维克托里娅·菲斯', '康兰·卡萨尔', '海伦娜·福尔摩斯', '伯纳多·桑托斯', '露丝·霍洛克斯', '大卫·穆梅尼', '马诺伊·阿南德', '阿玛尔·阿达蒂亚', '朱利安·费罗', '丹尼尔·厄根', '拉普洛斯·卡伦福佐斯', '阿克塞尔·努', '史蒂夫·莱温顿', '安东尼奥·曼奇诺', '斯特拉·斯托克尔', '克利夫·柯蒂斯']","['动作', '犯罪']",['制片国家/地区: 美国'],['语言: 英语'],['上映日期: 2019-08-23(中国大陆) / 2019-08-02(美国)'],['又名: 霍布斯与肖 / 速度与激情外传 / 玩命关头：特别行动(台) / 狂野时速：双雄联盟(港) / 速度与激情衍生片 / 速度与基情(豆友译名) / Hobbs and Shaw / The Fast and the Furious Spinoff'],"
                            ","['ed2k://|file|sd与激情：特别行动.1080p.BD中英双字[66影视www.66Ys.Co].mp4|2664930798|8FF1A41C20D3640DD37FE15E7F100CB6|h=PXMKXZ6RK7JJYSYSQNRB4IZWWUERSCOV|/', 'ed2k://|file|sd与激情：特别行动.720p.BD中英双字[66影视www.66Ys.Co].mp4|2117865282|A35F6FE197FBC7B237C70696CD58BCDB|h=MI2O46KMB66IP2CQYFFGGVUU3KKD32CV|/', 'magnet:?xt=urn:btih:IOL3AXM4C6KWW4TYMGHMSSGJN5QUSJMO', 'magnet:?xt=urn:btih:7K7XIWN7ORTAXLDK2GLLFYTNE4YE7CI6', 'ed2k://|file|速度与激情：特别行动.1080p.HD美版修正中英双字[66影视www.66Ys.Co].mp4|3405771511|8E1DAFD4BD21CC0FAAC79A85314BC88C|h=BFIGCXOIW6WIC5YCN22F62SIJE4WLQGX|/']"
同居物语 ,"['Laxman Utekar', 'Rohan Shankar', '卡提克·亚利安', 'Vishwanath Chatterjee', '阿帕尔夏克提·库拉那', '维奈帕·塔克', '克里蒂·萨农', '阿图·斯里瓦斯塔瓦', 'Pankaj Tripathi', '剧情', '喜剧', '爱情']",['Rohan Shankar'],"['卡提克·亚利安', 'Vishwanath Chatterjee', '阿帕尔夏克提·库拉那', '维奈帕·塔克', '克里蒂·萨农', '阿图·斯里瓦斯塔瓦', 'Pankaj Tripathi']","['剧情', '喜剧', '爱情']",['制片国家/地区: 印度'],['语言: 印地语'],['上映日期: 2019-03-01(印度/美国)'],['又名: 卢卡丘皮'],"
                            讲述了一个在马图拉的电视记者爱上了一个任性的女人的故事。","['ed2k://|file|同居物语.720p.HD中英双字.mp4|1331909720|825C91A7B562E8E176ECEA9C7F6EC8A7|h=OC6DU7HC526FIVHFEAYZHPCVROHIVJIG|/', 'magnet:?xt=urn:btih:B3NX3VNNDAYGW2UOYW67CSUSIA7BVTSH']"
男子啦啦队！！ ,"['风间太树', '朝井リョウ', '登米裕一', '横滨流星', '中尾畅树', '濑户利树', '唐田英里佳', '岩谷翔吾', '剧情']","['朝井リョウ', '登米裕一']","['横滨流星', '中尾畅树', '濑户利树', '唐田英里佳', '岩谷翔吾']",['剧情'],['官方网站: letsgobreakers7.com'],['制片国家/地区: 日本'],['语言: 日语'],['又名: Cheer Boys'],"
                            晴希從小就學習柔道，本來應該是要繼承父親的道場，但他覺得自己一點天賦也沒有，也不像他那所向無敵的姊姊，因為一次意外晴希受了傷，並離開了道場。就在此時，他的童年好友一馬和他說：「我們一起挑戰好玩的事吧！」於是，他們成立了一個前所未有的社團：男子啦啦隊！","['magnet:?xt=urn:btih:FID2KGOGMEPWFEYXPZJA6U4XVOVZOQ4W', 'ed2k://|file|男子啦啦队！！.720p.HD中字[66影视www.66Ys.Co].mp4|2142273163|5504DD87B45B66507CCD6BB6765A7B5E|h=IN5C2RPKPHQFASH4WRV7EPL2B2TDA2RZ|/']"
尽管你不想要 ,"['Bona Fajardo', 'Jimmy Flores', 'Empress Schuck', 'Kristel Fulgar', 'Andrea Brillantes', '剧情']",['Jimmy Flores'],"['Empress Schuck', 'Kristel Fulgar', 'Andrea Brillantes']",['剧情'],['制片国家/地区: 菲律賓 Philippines'],['语言: 菲律賓語 Filipino'],['上映日期: 2018-12-05(菲律宾)'],['又名: 儘管你不想要(台)'],"
                            生命就像一件圖騰編織，儘管每條線顏色大不相同，當彼此交織在一起時，將展現出最美的圖案。喬依、阿莉及麥姬的人生有著各自的方向及各自的煩惱，三人在一趟看似平凡的旅行中相遇。然而命運是一雙看不見的手，將三人的人生牢牢編織在了一起。","['magnet:?xt=urn:btih:PDN5GLAELJSNIWGLCMYLXY7MNJGWUF2Q', 'ed2k://|file|尽管你不想要.720p.BD中字[66影视www.66Ys.Co].mp4|1184801349|8E8A89D59E7BAC6187D74C89C7CD0B75|h=7DRMQIMRQFZKBCRAHVRVO4KHHYVZ6DRR|/']"
地狱厨房 ,"['安德丽亚·贝尔洛夫', '奥利·马斯特斯', '明·道尔', '安德丽亚·贝尔洛夫', '梅丽莎·麦卡西', '蒂凡尼·哈迪斯', '伊丽莎白·莫斯', '多姆纳尔·格里森', '詹姆斯·戴尔', '布莱恩·达西·詹姆斯', '杰里米·博布', '玛格·马丁戴尔', '比尔·坎普', '科曼', 'E·J·博尼拉', '迈克·沃特福德', '韦恩·杜瓦尔', '约翰·沙拉恩', '布赖恩·塔伦蒂诺', '威尔·斯文森', '安娜贝拉·莎拉', '伯尼·麦克伦尼', '莎珑·华盛顿', '乔丹·盖尔伯', '布兰登·乌拉诺维兹', '蒂娜·本科', '苏珊·布洛马特', '约瑟夫·罗素', '莱尼·维尼托', '肖恩·奥哈根', '杰米·杰克逊', '琳达·玛丽·拉森', '加布里埃尔·拉什', '罗伯特·约翰·加拉格尔', '达里尔·鲁本·霍尔', '桃乐丝·麦卡锡', '剧情', '动作', '科幻', '犯罪']","['奥利·马斯特斯', '明·道尔', '安德丽亚·贝尔洛夫']","['梅丽莎·麦卡西', '蒂凡尼·哈迪斯', '伊丽莎白·莫斯', '多姆纳尔·格里森', '詹姆斯·戴尔', '布莱恩·达西·詹姆斯', '杰里米·博布', '玛格·马丁戴尔', '比尔·坎普', '科曼', 'E·J·博尼拉', '迈克·沃特福德', '韦恩·杜瓦尔', '约翰·沙拉恩', '布赖恩·塔伦蒂诺', '威尔·斯文森', '安娜贝拉·莎拉', '伯尼·麦克伦尼', '莎珑·华盛顿', '乔丹·盖尔伯', '布兰登·乌拉诺维兹', '蒂娜·本科', '苏珊·布洛马特', '约瑟夫·罗素', '莱尼·维尼托', '肖恩·奥哈根', '杰米·杰克逊', '琳达·玛丽·拉森', '加布里埃尔·拉什', '罗伯特·约翰·加拉格尔', '达里尔·鲁本·霍尔', '桃乐丝·麦卡锡']","['剧情', '动作', '科幻', '犯罪']",['制片国家/地区: 美国'],['语言: 英语'],['上映日期: 2019-08-09(美国)'],['IMDb链接: tt5822564'],"
                            新线公司出品，根据Vertigo漫画改编的影片[地狱厨房]已确定导演人选。凭借[冲出康普顿]获奥斯卡最佳原创剧本提名的安德丽亚·贝尔洛夫将执导本片。此前她已完成影片剧本创作，本片也是她的导演处女作。讲述70年代末纽约帮派大佬们被捕入狱后，他们的妻子如何通过狠辣手段重整山河。","['ed2k://|file|地狱厨房.1080p.BD中英双字[66影视www.66Ys.Co].mp4|2303323416|C13D150E31EB14849757452A044442A9|h=O2QJKCZK75OITDGSO3G5WBVLMNNJEASO|/', 'magnet:?xt=urn:btih:CP77K5XP7PNSBGTDMX4QH6RED2XVPWEJ']"
谍战风云 ,"['Harley Wallen', 'Harley Wallen', '约翰·萨维奇', '理查德·泰森', '比利·沃斯', 'T.J. Storm', '布兰卡·布兰科', 'Harley Wallen', 'Kaiti Wallen', 'Yan Birch', '动作', '惊悚', '犯罪']",['Harley Wallen'],"['约翰·萨维奇', '理查德·泰森', '比利·沃斯', 'T.J. Storm', '布兰卡·布兰科', 'Harley Wallen', 'Kaiti Wallen', 'Yan Birch']","['动作', '惊悚', '犯罪']",['制片国家/地区: 美国'],['语言: 英语'],['上映日期: 2018-10-02(美国)'],['又名: 叛徒 / 出卖 / 出卖风云 / 即刻叛變(台)'],"
                            市长为了掌控大权，对俄罗斯暴民敞开大门，很快他就发现这些俄罗斯人并不会遵守他的规则，为了牵制这些俄罗斯人，他再次向毒枭敞开了大门，而这场游戏才刚刚开始....","['ed2k://|file|谍战风云.720p.BD中字[66影视www.66Ys.Co].mp4|962954706|A930A4F452EC4959269CEA3C43B2E6FB|h=HFFEV5BXAKBDU2COLYSLQ25HULEVV7YW|/', 'magnet:?xt=urn:btih:HN722WLEILXMYMVHUYOHVRNSMOM6ZELC']"
陌路徒者 ,"['李明坤', '曲馨雅', '方蓝', '文东俊', '李美君', '徐冬梅', '任青安', '刘碑歌', '杜杜', '李明坤', '剧情', '动作', '犯罪']","['曲馨雅', '方蓝']","['文东俊', '李美君', '徐冬梅', '任青安', '刘碑歌', '杜杜', '李明坤']","['剧情', '动作', '犯罪']",['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-08-14(中国大陆)'],[],"
                            退伍军人漆有声为了医治身患恶疾的女友刘淑怡，每日奔波边境往返替商贾林家做运输买卖，不曾想林家商人外衣之下做得是毒贩生意。在一次运输途中，他弄丢林家一批货，林家因此纠缠不休。曾经的战友田大鹏，借此机会要他去境外黑市打黑拳，以此铺开对境外军阀勒赫的长线监视。为了奖金，也为了曾经的梦想，漆有声离开女友来到境外，在一次次地下赛事中拼尽全力只为获胜。他结识了赌债缠身用打拳逃避生活的韩哥、以为自己失手杀人逃到边境的垫场女拳手阿梦、和坑蒙拐骗成为自己助手的年轻小万，三人互相扶持在边境拳场求生，却误打误撞卷入了一场牵系每个人性命的更大的风波······","['magnet:?xt=urn:btih:KI7GRLVHHEAM6U2PGA4IX25Y2HFUSMZN', 'ed2k://|file|陌路徒者.2019.1080p.HD国语中字.mkv|2277636955|C1ACCA3DCA241772E32C1F9997EBAF6C|h=FE4FCUSWE4VHUPY6ZIIONCFTHWJM6NIB|/']"
